Year,Storm,Province,Affected
2023,Kabayan,Agusan del Norte,1413.0
2023,Kabayan,Agusan del Sur,69224.0
2023,Kabayan,Bukidnon,3.0
2023,Kabayan,Camiguin,156.0
2023,Kabayan,Davao Oriental,69759.0
2023,Kabayan,Davao de Oro,0.0
2023,Kabayan,Dinagat Islands,1553.0
2023,Kabayan,Iloilo,698.0
2023,Kabayan,Laguna,46.0
2023,Kabayan,Misamis Occidental,315.0
2023,Kabayan,Misamis Oriental,53.0
2023,Kabayan,Negros Occidental,285.0
2023,Kabayan,Palawan,350.0
2023,Kabayan,Rizal,2000.0
2023,Kabayan,Southern Leyte,332.0
2023,Kabayan,Surigao del Norte,2802.0
2023,Kabayan,Surigao del Sur,276969.0
