Province,Lat,Lng
Abra,17.6,120.617
Agusan del Norte,8.95,125.53
Agusan del Sur,8.6,125.917
Aklan,11.7,122.367
Albay,13.13,123.73
Antique,10.75,121.95
Apayao,17.8,121.333
Aurora,15.767,121.567
Basilan,6.7,121.97
Bataan,14.68,120.541
Batanes,20.4496778,121.9698694
Batangas,13.75,121.05
Benguet,16.45,120.567
Biliran,11.583,124.45
Bohol,9.65,123.85
Bukidnon,8.15,125.133
Bulacan,14.84333,120.81139
Cagayan,17.617,121.717
Camarines Norte,14.117,122.95
Camarines Sur,13.583,123.3
Camiguin,9.25,124.717
Capiz,11.583,122.75
Catanduanes,13.583,124.233
Cavite,14.283,120.85
Cebu,10.32,123.75
Cotabato,7.017,125.083
Davao de Oro,7.6,125.967
Davao del Norte,7.45,125.8
Davao del Sur,6.75,125.35
Davao Occidental,6.411,125.614
Davao Oriental,6.95,126.233
Dinagat Islands,10.1,125.6
Eastern Samar,11.6,125.43
Guimaras,10.6,122.6
Ifugao,16.817,121.1
Ilocos Norte,18.183,120.583
Ilocos Sur,17.57,120.38
Iloilo,11,122.67
Isabela,17.13,121.88
Kalinga,17.45,121.45833
La Union,16.617,120.317
Laguna,14.27861,121.41556
Lanao del Norte,8.23,124.25
Lanao del Sur,8,124.3
Leyte,11.24,125
Maguindanao del Norte,7.02356,124.31571
Maguindanao del Sur,6.72028,124.80194
Marinduque,13.45,121.833
Masbate,12.17,123.58
Metro Manila,14.58,121
Misamis Occidental,8.483,123.8
Misamis Oriental,8.48,124.65
Mountain Province,17.08722,120.97556
Negros Occidental,10.67,122.95
Negros Oriental,9.317,123.3
Northern Samar,12.45,124.65
Nueva Ecija,15.48,120.97
Nueva Vizcaya,16.483,121.15
Occidental Mindoro,12.35,121.067
Oriental Mindoro,13.4,121.183
Palawan,9.75,118.75
Pampanga,15.033,120.683
Pangasinan,16.02,120.23083
Quezon,13.965,121.649
Quirino,16.583,121.5
Rizal,14.583,121.167
Romblon,12.4,122
Samar,11.783,124.883
Sarangani,6.083,125.283
Siquijor,9.22,123.52
Sorsogon,12.97,124
South Cotabato,6.5,124.85
Southern Leyte,10.133,124.85
Sultan Kudarat,6.633,124.6
Sulu,6.05,121
Surigao del Norte,9.78,125.48
Surigao del Sur,9.067,126.183
Tarlac,15.467,120.583
Tawi-Tawi,5.033,119.767
Zambales,15.333,119.983
Zamboanga del Norte,8.567,123.333
Zamboanga del Sur,7.83,123.43
Zamboanga Sibugay,7.783,122.583
